x y theta v w
0 0 0.558689 0.4716 0.00269642
0.0399893 0.0249983 0.558959 0.471302 0.00539695
0.0799147 0.0499867 0.55977 0.47041 0.0108241
0.119712 0.074955 0.561127 0.468924 0.0163119
0.159318 0.0998934 0.563037 0.466849 0.0218918
0.198669 0.124792 0.565511 0.464189 0.0275964
0.237703 0.14964 0.568563 0.46095 0.0334598
0.276356 0.174429 0.572211 0.457139 0.0395184
0.314567 0.199148 0.576477 0.452765 0.0458111
0.352274 0.223787 0.581386 0.447838 0.0523801
0.389418 0.248337 0.586967 0.442368 0.0592716
0.425939 0.272787 0.593256 0.436369 0.0665361
0.461779 0.297128 0.600293 0.429855 0.0742299
0.49688 0.321351 0.608124 0.422842 0.0824155
0.531186 0.345445 0.6168 0.415346 0.0911629
0.564642 0.3694 0.626383 0.407388 0.100551
0.597195 0.393208 0.636941 0.398987 0.110668
0.628793 0.416859 0.648552 0.390166 0.121616
0.659385 0.440343 0.661304 0.380949 0.133509
0.688921 0.463651 0.675298 0.371364 0.146477
0.717356 0.486773 0.690649 0.361438 0.160668
0.744643 0.509701 0.707488 0.351204 0.176251
0.770739 0.532424 0.725964 0.340695 0.193419
0.795602 0.554935 0.746244 0.32995 0.212388
0.819192 0.577224 0.768523 0.319008 0.233405
0.841471 0.599282 0.793017 0.307915 0.256742
0.862404 0.6211 0.819975 0.29672 0.282702
0.881958 0.64267 0.849673 0.285479 0.311612
0.9001 0.663983 0.882426 0.274252 0.343813
0.916803 0.68503 0.918578 0.263107 0.379647
0.932039 0.705803 0.95851 0.252122 0.419426
0.945784 0.726294 1.00263 0.24138 0.463386
0.958016 0.746494 1.05136 0.230977 0.511622
0.968715 0.766396 1.10512 0.221019 0.563991
0.977865 0.785991 1.16431 0.211624 0.619984
0.98545 0.805272 1.22924 0.20292 0.678579
0.991458 0.824231 1.30009 0.195042 0.738098
0.995881 0.84286 1.37685 0.188132 0.796107
0.99871 0.861152 1.4592 0.182331 0.849442
0.999942 0.879099 1.54651 0.177769 0.894444
0.999574 0.896695 1.63774 0.174556 0.927424
0.997606 0.913932 1.73154 0.172771 0.945329
0.994043 0.930804 1.82629 0.172453 0.946405
0.98889 0.947303 1.9203 0.173594 0.930628
0.982154 0.963424 2.01196 0.176142 0.899708
0.973848 0.979159 2.09988 0.180005 0.856675
0.963983 0.994502 2.18305 0.185061 0.805209
0.952576 1.00945 2.26081 0.191169 0.748984
0.939645 1.02399 2.33283 0.198181 0.691185
0.925212 1.03812 2.3991 0.205948 0.63427
0.909297 1.05184 2.4598 0.214329 0.579944
0.891929 1.06514 2.51524 0.22319 0.52925
0.873133 1.07801 2.56581 0.232413 0.48271
0.85294 1.09044 2.61195 0.24189 0.440483
0.831383 1.10245 2.65407 0.251524 0.402484
0.808496 1.11401 2.69259 0.261231 0.368482
0.784316 1.12513 2.7279 0.270934 0.338173
0.758881 1.13579 2.76035 0.280566 0.31122
0.732231 1.146 2.79026 0.290069 0.287286
0.704411 1.15576 2.81791 0.299389 0.266049
0.675463 1.16505 2.84355 0.308478 0.247214
0.645435 1.17387 2.86743 0.317295 0.230511
0.614374 1.18223 2.88973 0.325801 0.215701
0.582331 1.19011 2.91063 0.333962 0.202573
0.549355 1.19752 2.9303 0.341747 0.190942
0.515501 1.20445 2.94887 0.349128 0.180647
0.480823 1.21089 2.96647 0.35608 0.171549
0.445375 1.21686 2.98322 0.36258 0.163526
0.409214 1.22233 2.99921 0.368608 0.156475
0.372399 1.22732 3.01454 0.374146 0.150306
0.334988 1.23181 3.0293 0.379177 0.144942
0.297041 1.23581 3.04356 0.383686 0.140318
0.258619 1.23932 3.05739 0.387662 0.136379
0.219784 1.24234 3.07086 0.391093 0.13308
0.180596 1.24485 3.08403 0.393971 0.130382
0.14112 1.24687 3.09696 0.396286 0.128254
0.101418 1.24839 3.1097 0.398034 0.126674
0.0615537 1.24941 3.12231 0.399209 0.125624
0.021591 1.24993 3.13484 0.399809 0.125091
-0.0184063 1.24995 3.14735 0.399832 0.125071
-0.0583741 1.24947 3.15988 0.399278 0.125562
-0.0982486 1.24849 3.17248 0.398149 0.126571
-0.137966 1.24701 3.18521 0.396446 0.128109
-0.177462 1.24503 3.19812 0.394176 0.130192
-0.216675 1.24255 3.21127 0.391343 0.132843
-0.255541 1.23958 3.22471 0.387956 0.136093
-0.293998 1.23611 3.23851 0.384023 0.13998
-0.331985 1.23215 3.25273 0.379555 0.144547
-0.369441 1.22769 3.26745 0.374565 0.14985
-0.406306 1.22275 3.28273 0.369067 0.155953
-0.44252 1.21731 3.29867 0.363078 0.162931
-0.478027 1.21139 3.31535 0.356614 0.170872
-0.512769 1.20498 3.33288 0.349698 0.179881
-0.546691 1.19809 3.35137 0.34235 0.190075
-0.579738 1.19072 3.37095 0.334596 0.201594
-0.611858 1.18288 3.39175 0.326464 0.214596
-0.642999 1.17456 3.41393 0.317984 0.229265
-0.673111 1.16577 3.43767 0.309191 0.245809
-0.702146 1.15651 3.46317 0.300122 0.264465
-0.730058 1.1468 3.49065 0.290819 0.2855
-0.756802 1.13662 3.52037 0.281329 0.309208
-0.782336 1.12599 3.5526 0.271704 0.335908
-0.806618 1.11491 3.58767 0.262004 0.365938
-0.829609 1.10338 3.62592 0.252296 0.399633
-0.851273 1.09142 3.66774 0.242653 0.437305
-0.871576 1.07901 3.71354 0.23316 0.479189
-0.890484 1.06618 3.76375 0.223913 0.525387
-0.907967 1.05291 3.81878 0.215018 0.575765
-0.923998 1.03923 3.87905 0.206595 0.629831
-0.938551 1.02513 3.94487 0.198774 0.686593
-0.951602 1.01062 4.01643 0.191696 0.744402
-0.963131 0.995707 4.09374 0.18551 0.80086
-0.973119 0.980395 4.17649 0.180365 0.852835
-0.98155 0.964691 4.26407 0.176402 0.896679
-0.988411 0.948601 4.35548 0.173746 0.928687
-0.993691 0.932132 4.44936 0.17249 0.945754
-0.997381 0.915289 4.54411 0.172692 0.946043
