x y theta v w
-0 0 0 0 0
0 0 0.35 0 3.5
0.0432998 0.0158057 0.558827 0.460944 2.08827
0.0849615 0.0418574 0.559769 0.491364 0.00941927
0.124781 0.0668097 0.561126 0.469919 0.0135635
0.164419 0.0917226 0.563035 0.468165 0.0190957
0.203813 0.116588 0.565509 0.46585 0.024737
0.242901 0.141395 0.568561 0.462955 0.0305199
0.281621 0.166135 0.572209 0.459487 0.0364796
0.319911 0.190797 0.576474 0.455453 0.0426537
0.357711 0.215372 0.581383 0.450864 0.0490829
0.394961 0.239851 0.586964 0.445732 0.0558111
0.431602 0.264223 0.593252 0.440068 0.0628868
0.467577 0.28848 0.600289 0.433889 0.0703632
0.502829 0.312613 0.608119 0.427208 0.0782996
0.537303 0.336611 0.616795 0.420045 0.0867622
0.570946 0.360466 0.626377 0.412418 0.0958254
0.603704 0.384169 0.636935 0.404348 0.105573
0.635528 0.407713 0.648545 0.39586 0.116099
0.666369 0.431087 0.661296 0.386978 0.127513
0.696179 0.454285 0.675289 0.37773 0.139934
0.724914 0.477299 0.69064 0.368147 0.153504
0.75253 0.500121 0.707478 0.358262 0.16838
0.778987 0.522745 0.725952 0.34811 0.184742
0.804245 0.545166 0.746232 0.337734 0.202796
0.828268 0.567377 0.768509 0.327175 0.222772
0.851021 0.589375 0.793002 0.316484 0.24493
0.872474 0.611156 0.819958 0.305714 0.269558
0.892595 0.632718 0.849655 0.294926 0.296971
0.911358 0.654062 0.882405 0.284187 0.327504
0.928738 0.675189 0.918555 0.273572 0.361501
0.944712 0.696104 0.958484 0.263165 0.399292
0.959256 0.716812 1.0026 0.253058 0.441155
0.972352 0.737324 1.05133 0.243356 0.487263
0.983976 0.757652 1.10509 0.234171 0.537601
0.994108 0.777811 1.16427 0.225626 0.591855
1.00272 0.797821 1.2292 0.217849 0.649272
1.00979 0.817699 1.30005 0.210968 0.708513
1.01528 0.837462 1.3768 0.205108 0.767526
1.01914 0.857124 1.45915 0.200376 0.823502
1.02133 0.876687 1.54645 0.196852 0.873
1.0218 0.896139 1.63768 0.194579 0.912296
1.02051 0.915451 1.73148 0.193556 0.937959
1.01741 0.934576 1.82623 0.19374 0.947536
1.01248 0.953449 1.92024 0.195056 0.940117
1.00572 0.971997 2.0119 0.197411 0.916561
0.997155 0.990147 2.09983 0.200712 0.879289
0.986815 1.00783 2.183 0.204877 0.831715
0.974757 1.02501 2.26076 0.20983 0.777566
0.96104 1.04163 2.33279 0.215507 0.720302
0.945724 1.05768 2.39906 0.221841 0.662755
0.92887 1.07314 2.45976 0.228762 0.607006
0.910531 1.08803 2.5152 0.236196 0.554416
0.890759 1.10234 2.56578 0.244063 0.505757
0.869598 1.11607 2.61192 0.252281 0.461358
0.847095 1.12925 2.65404 0.260768 0.421246
0.82329 1.14187 2.69257 0.269445 0.385257
0.798225 1.15395 2.72788 0.278235 0.353118
0.77194 1.16549 2.76033 0.287067 0.324505
0.744477 1.1765 2.79024 0.295876 0.299081
0.715878 1.18698 2.81789 0.304601 0.276514
0.686185 1.19695 2.84354 0.313187 0.256495
0.655445 1.20639 2.86741 0.321584 0.238741
0.623702 1.21532 2.88971 0.329746 0.222998
0.591004 1.22373 2.91062 0.337631 0.209041
0.557401 1.23163 2.93028 0.345204 0.196672
0.522942 1.23903 2.94886 0.35243 0.185719
0.487679 1.24591 2.96646 0.359278 0.17603
0.451666 1.25228 2.98321 0.365721 0.167476
